issf_core_id,attribute__attribute_label,value,attribute_value__value_label,country,region
2479,Main gear type(s):,,Traps,Brazil,Latin America and the Caribbean
3233,Main gear type(s):,,Traps,Canada,North America and Canada
3644,Main gear type(s):,,Traps,Nigeria,Africa
2400,Main gear type(s):,,Traps,Oman,Asia and Oceania
3201,Main gear type(s):,,Traps,Cambodia,Asia and Oceania
3787,Main gear type(s):,,Traps,Iran,Asia and Oceania
2516,Main gear type(s):,,Traps,Indonesia,Asia and Oceania
2324,Main gear type(s):,,Traps,Bahamas,Latin America and the Caribbean
3566,Main gear type(s):,,Traps,Cameroon,Africa
2544,Main gear type(s):,,Traps,Canada,North America and Canada
3635,Main gear type(s):,,Traps,Nigeria,Africa
3597,Main gear type(s):,,Traps,Liberia,Africa
2388,Main gear type(s):,,Traps,Jamaica,Latin America and the Caribbean
2539,Main gear type(s):,,Traps,Brazil,Latin America and the Caribbean
3660,Main gear type(s):,,Traps,Philippines,Asia and Oceania
3265,Main gear type(s):,,Traps,Canada,North America and Canada
2520,Main gear type(s):,,Traps,Brazil,Latin America and the Caribbean
